Holikā dahana,Holika Dahan,,,
homa,homa,,,
hṛdaya-mudrā,hridaya-mudra,,,
Hṛṣīkeśa,Hrishikesha,,,
icchā-mṛtyu,ichcha-mrityu,,,
icchā-śakti,ichcha-shakti,,,
iḍā(-nāḍi),ida(-nāḍi),updated 30.08.23,,
Ikṣvāku,Ikshvaku,,,
Indra(deva),Indra(deva),,,
Indrajit,Indrajit,,,
Indraloka,Indraloka,,,
Indrāṇī,Indrani,,,
Indrapraṣṭha,Indraprastha,25.05,,
Indrāyaṇī,Indrayani,added 29.05.24,,
indriyas,indriyas,,,
iṣṭadeva,ishtadeva,,,
Īśvara,Ishwara,25.05.2023 changed to Ī,,
"Īśvara Purī, Śrī","Ishwara Puri, Sri",,,
Itihāsas,Itihasas,itialics 18.04.24,,
Jaḍabharata,Jadabharata,,,
Jagadambā,Jagadamba,,,
jagadguru,jagadguru,,,
Jagannātha,Jagannatha,30.05 changed from Jagannāth,,
Jagannātha Purī,Jagannath Puri,added 23.04.24,,
jagat,jagat,,,
Jagatjananī,Jagat Janani,added 09.11.23,,
jagrat ,jagrat ,added 05.02.25,,
Jai,Jai,,,
Jai Gurudev,Jai Gurudev,,,
jal-samādhi,jal-samadhi,,,
Jālandhara,Jalandhara ,,,
Jāmbavān,Jambavan,,,
Jāmbavatī,Jambavati,,,
Janābāī,Janabai,,,
Janaka,Janaka,,,
Janamejaya,Janamejaya,,,
Jananī,Janani,,,
Janārdana,Janardana,,,
Janārdana Svāmī,Janardana Swami,added 20.04.24,,
janeu,janeu,,,
janmā,janma,,,
Janmāṣṭamī,Janmashtami,,,
japa,japa,,,
Japa Walk,Japa Walk,,,
japa-kriyā,japa-kriya,,,
japa-mālā,japamala,,,
japa-mantra(s),japa-mantra(s),added 24.01.24,,
Jāra,Jara,,,
Jārasandha,Jarasandha,,,
Jaṭāyu,Jatayu,,,
jātis,jatis,,,
Jaya,Jaya ,,,
Jayadeva,Jayadeva,,,
